KIC,vt
5272499,nv
5272524,lt
5272527,nv
5272541,nv
5272544,st
5272556,nv
5272560,nv
5272567,st
5272571,nv
5272590,lt
5272672,mt
5272673,st
5272755,nv
5272765,st
5272768,nv
5272770,nv
5272774,nv
5272812,nv
5272829,nv
5272841,nv
5272843,mt
5272874,nv
5272878,nv
5272886,nv
5272889,nv
5272895,nv
5272914,nv
5272946,nv
5273041,nv
5273042,nv
5273059,nv
5273087,nv
5273097,nv
5273102,st
5273104,nv
5273106,nv
5273116,st
5273125,nv
5273131,st
5273154,nv
5273178,lt
5273182,nv
5273195,nv
5273228,nv
5273236,nv
5273239,lt
5273296,nv
5273356,nv
5273377,mt
5273399,nv
5273402,nv
5273446,nv
5273473,nv
5273490,nv
5273519,nv
5273529,mt
5273564,nv
5273572,nv
5273576,nv
5273622,nv
5273625,nv
5273639,nv
5273677,nv
5273712,nv
5273713,nv
5273739,st
5273752,st
5273753,lt
5273758,st
5273784,st
5273819,nv
5273821,nv
5273846,nv
5273901,nv
5273913,nv
5273925,st
5273933,nv
5273973,nv
5273987,nv
5273988,st
5273991,lt
5274009,nv
5274019,nv
5274142,nv
5276219,st
5276291,nv
5276332,mt
5276397,lt
5276467,st
5276489,st
5293276,nv
5293308,nv
5293431,nv
5293857,lt
5293929,nv
5294018,mt
5294064,nv
5294203,st
5294231,lt
5294337,nv
5294343,nv
5294356,nv
5294364,nv
5294449,st
5294523,nv
5294563,nv
5294571,nv
5294672,lt
5294729,nv
5294731,nv
5294739,eb
5294779,nv
5294802,nv
5294937,nv
5294945,nv
