KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
2996347,0.3010109,0.0000002,55002.14632,0.018906,0.9,71.2994,9.2171,15.448,5445,FALSE
7597095,0.3012058,0.0000002,54964.70915,0.016177,0.76,74.3288,14.6371,14.199,4915,FALSE
11716688,0.3012184,0.0000002,54964.84594,0.015958,0.93,82.2529,13.8121,13.647,5130,FALSE
9274472,0.3020905,0.0000002,54964.72602,0.019634,0.9,77.0242,15.0968,13.919,5112,FALSE
4074708,0.3021166,0.0000002,54964.85667,0.016123,0.74,73.22,7.6524,15.37,5308,FALSE
8394040,0.3021265,0.0000002,54964.87845,0.018159,0.79,79.4682,7.3569,14.457,5697,FALSE
8625469,0.3022458,0.0000035,55000.5208,0.017512,0.78,76.9634,12.7073,17.658,5298,FALSE
9161428,0.3025934,0.0000003,55002.08246,0.016027,0.92,78.4411,11.5496,15.119,5535,FALSE
8298344,0.3028751,0.0000002,54964.79603,0.01484,0.93,76.2502,12.9744,15.354,5023,FALSE
9948201,0.303181,0.0000002,54964.9019,0.016662,0.89,78.5058,14.5958,14.372,5791,FALSE
4941060,0.3034224,0.0000002,54964.69106,0.016973,0.75,74.1958,7.8666,15.38,5197,FALSE
10355671,0.3036296,0.0000002,54953.63705,0.015054,0.95,81.225,10.5992,13.599,5224,FALSE
7877062,0.3036515,0.0000002,54964.77874,0.017254,0.82,74.0539,16.2785,13.827,5484,FALSE
9470175,0.3038318,0.0000002,54964.84148,0.016501,0.77,78.7399,12.0749,15.347,5438,FALSE
3745184,0.3042328,0.0000002,54964.73155,0.013593,0.67,71.2244,10.8722,15.031,4607,FALSE
7273033,0.3050331,0.0000002,55002.04806,0.016848,0.96,74.2812,13.9534,15.209,5443,FALSE
10084115,0.3056657,0.0000002,54964.7522,0.019247,0.89,80.0664,11.7274,15.35,5524,FALSE
10395202,0.3059446,0.0000002,54964.64335,0.019503,0.81,78.3195,16.7308,14.705,5260,FALSE
11498689,0.306306,0.0000002,54964.60723,0.018114,0.77,79.9953,17.698,15.124,5271,FALSE
11395117,0.3065169,0.0000002,54964.84592,0.016364,0.74,79.9253,17.3186,14.993,4879,FALSE
6504095,0.3067755,0.0000002,54964.63261,0.015836,0.96,72.185,16.2917,14.842,5679,FALSE
11245381,0.3069917,0.0000002,54953.64175,0.016634,0.75,80.9843,14.239,12.858,5567,TRUE
7773380,0.3075778,0.0000002,54964.889,0.018767,0.94,77.8325,8.4374,14.475,5357,FALSE
10723143,0.3076416,0.0000002,54964.84131,0.018014,0.79,79.094,16.3014,15.495,5120,FALSE
5563814,0.3082342,0.0000002,54964.683,0.019449,0.91,75.8647,6.2695,15.192,5032,FALSE
10285661,0.3082916,0.0000002,55002.03807,0.018596,0.79,80.6725,11.3161,15.318,5733,FALSE
9245929,0.3083748,0.0000002,54964.74207,0.0162,0.94,80.7358,7.7496,15.538,5093,FALSE
5307780,0.3088511,0.0000002,54964.97504,0.018815,0.88,75.7369,5.9008,14.906,6075,FALSE
11305087,0.3092669,0.0000002,54964.83674,0.018609,0.79,82.0135,12.447,15.038,5512,FALSE
7035139,0.3097412,0.0000002,54964.87178,0.019909,0.8,75.0804,11.6151,15.48,5656,FALSE
4168013,0.3108761,0.0000002,55002.04414,0.019235,0.85,72.6863,8.9145,15.151,5421,FALSE
11151970,0.3116291,0.0000002,54954.06713,0.019744,0.88,82.4939,11.0325,13.071,5123,FALSE
11084647,0.3116736,0.0000002,54964.74498,0.019423,0.83,80.6139,14.3243,15.319,5392,FALSE
6265720,0.3124277,0.0000002,54964.72768,0.018912,0.93,71.6386,16.8421,14.823,5585,FALSE
11442348,0.3128408,0.0000002,54964.60534,0.016792,0.76,79.2501,19.4795,14.546,5301,FALSE
10801703,0.3130925,0.0000002,54964.82704,0.018377,0.85,80.5832,13.1805,14.38,5306,FALSE
6966265,0.3134353,0.0000002,54964.75711,0.016756,0.76,76.4156,8.766,14.55,5460,FALSE
11137143,0.3135334,0.0000002,54964.7767,0.018775,0.91,80.5699,14.6501,13.145,5895,FALSE
8029708,0.3135574,0.0000037,55000.60108,0.017044,0.75,76.1615,12.238,16.726,5226,FALSE
4569923,0.3135835,0.0000002,54964.6578,0.02061,0.82,72.9986,9.17,13.873,5557,FALSE
12071741,0.3142642,0.0000002,54964.81756,0.016178,0.94,83.6876,12.7169,14.818,5385,FALSE
5283266,0.3146487,0.0000002,54964.67672,0.020068,0.8,73.742,9.3712,14.196,4921,FALSE
7821450,0.3147619,0.0000002,54964.68141,0.018496,0.81,75.6917,12.5692,14.937,5155,FALSE
10322296,0.3150326,0.0000002,54964.7803,0.02074,0.84,77.1587,19.2844,12.719,-1,FALSE
8545456,0.3152045,0.0000002,54953.66518,0.017205,0.77,74.8604,17.2092,11.724,7855,TRUE
5283839,0.3152311,0.0000002,54964.85537,0.019183,0.93,73.855,9.3,15.156,5906,FALSE
3353233,0.3157777,0.0000002,55002.05763,0.016595,0.75,72.0026,8.424,15.958,4586,FALSE
4249218,0.3161948,0.0000002,54964.85738,0.017148,0.76,70.5314,13.3383,13.858,5283,FALSE
6431545,0.3168339,0.0000002,54964.58964,0.019741,0.91,72.9127,14.2702,13.853,5459,FALSE
7533807,0.3168451,0.0000002,54964.66947,0.017266,0.95,76.0344,11.0201,15.292,5571,FALSE
7953796,0.3175482,0.0000002,54964.84367,0.017543,0.94,75.2931,13.8434,15.779,5582,FALSE
3545476,0.3176886,0.0000002,54964.73995,0.01856,0.88,71.2651,10.2747,14.821,5319,FALSE
9994475,0.3184064,0.0000002,54964.73203,0.017368,0.77,76.5591,19.3681,14.3,5646,FALSE
9347868,0.31847,0.0000002,54964.83525,0.018599,0.83,78.5947,11.9513,15.21,5575,FALSE
9005043,0.320238,0.0000003,55002.13946,0.016323,0.72,75.3872,17.7544,15.779,5141,FALSE
11722816,0.3203734,0.0000002,54964.74424,0.020168,0.82,82.9951,12.2886,14.227,5885,FALSE
10032935,0.320516,0.0000002,54964.67235,0.017945,0.76,81.3594,9.3995,14.638,5806,FALSE
9145707,0.3207706,0.0000002,54964.76614,0.016639,0.75,76.4188,15.7951,14.75,5399,FALSE
11303416,0.3207842,0.0000002,54964.92776,0.022983,0.94,81.8214,12.8743,15.023,4825,FALSE
2571439,0.3209791,0.0000002,54964.70157,0.018242,0.93,70.1227,10.7643,14.696,5046,FALSE
