,cpcb1_flag,tb_simonian_flag,binary_berger_flag,subgiant_berger_flag,koi_flag,norot_flag
2308103.0,-999.0,-999.0,0.0,0.0,-999.0,
2309152.0,-999.0,-999.0,0.0,0.0,-999.0,
2311350.0,-999.0,-999.0,0.0,0.0,-999.0,
2311508.0,-999.0,-999.0,0.0,0.0,-999.0,
2311578.0,-999.0,-999.0,0.0,0.0,-999.0,
2311842.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2422714.0,-999.0,-999.0,0.0,0.0,-999.0,
2422906.0,-999.0,-999.0,0.0,0.0,-999.0,
2422920.0,-999.0,-999.0,0.0,0.0,-999.0,
2423052.0,-999.0,-999.0,0.0,0.0,-999.0,
2423549.0,-999.0,-999.0,0.0,0.0,-999.0,
2423813.0,-999.0,-999.0,0.0,0.0,-999.0,
2423839.0,-999.0,-999.0,0.0,0.0,-999.0,
2423938.0,-999.0,-999.0,0.0,0.0,-999.0,
2423951.0,-999.0,-999.0,1.0,0.0,-999.0,
2424289.0,-999.0,-999.0,1.0,0.0,-999.0,
2424302.0,-999.0,-999.0,0.0,0.0,-999.0,
2424309.0,-999.0,-999.0,0.0,0.0,-999.0,
2424688.0,-999.0,-999.0,0.0,0.0,-999.0,
2425184.0,-999.0,-999.0,0.0,0.0,-999.0,
2425407.0,-999.0,-999.0,1.0,0.0,-999.0,
2425537.0,-999.0,-999.0,1.0,0.0,-999.0,
2435893.0,-999.0,-999.0,0.0,0.0,-999.0,
2436635.0,1.0,-999.0,1.0,0.0,-999.0,
2438264.0,-999.0,-999.0,0.0,0.0,0.0,
2438588.0,-999.0,-999.0,0.0,0.0,-999.0,
2438873.0,1.0,-999.0,-999.0,-999.0,-999.0,
2439094.0,-999.0,-999.0,0.0,0.0,-999.0,
2439496.0,-999.0,-999.0,0.0,0.0,-999.0,
2439966.0,-999.0,-999.0,1.0,0.0,-999.0,
2441409.0,-999.0,-999.0,0.0,0.0,-999.0,
2441562.0,-999.0,-999.0,0.0,0.0,-999.0,
2441891.0,-999.0,-999.0,0.0,0.0,-999.0,
2441989.0,-999.0,-999.0,0.0,0.0,-999.0,
2442004.0,-999.0,-999.0,0.0,0.0,-999.0,
2442165.0,-999.0,-999.0,0.0,0.0,-999.0,
2442210.0,-999.0,-999.0,0.0,0.0,-999.0,
2442866.0,1.0,-0.826,1.0,0.0,-999.0,
2443037.0,-999.0,-999.0,0.0,0.0,-999.0,
2443364.0,-999.0,-999.0,0.0,0.0,-999.0,
2443935.0,-999.0,-999.0,0.0,0.0,-999.0,
2443944.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2444406.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2444517.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2444597.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2445019.0,-999.0,-999.0,0.0,0.0,-999.0,
2445154.0,-999.0,-999.0,0.0,0.0,-1.0,
2445329.0,-999.0,-999.0,0.0,0.0,-999.0,
2445782.0,-999.0,-999.0,0.0,0.0,-999.0,
2446261.0,-999.0,-999.0,0.0,0.0,-999.0,
2446934.0,-999.0,-999.0,0.0,0.0,-999.0,
2447838.0,-999.0,-999.0,0.0,0.0,-999.0,
2448186.0,-999.0,-999.0,0.0,0.0,-999.0,
2448311.0,-999.0,-999.0,0.0,0.0,-999.0,
2448416.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2448534.0,-999.0,-999.0,1.0,0.0,-999.0,
2448958.0,-999.0,-999.0,0.0,0.0,-999.0,
2449799.0,-999.0,-999.0,0.0,0.0,-999.0,
2449818.0,-999.0,-999.0,0.0,0.0,-999.0,
2449849.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2450157.0,-999.0,-999.0,1.0,0.0,-999.0,
2453079.0,-999.0,-999.0,0.0,0.0,-999.0,
2453267.0,-999.0,-999.0,1.0,0.0,-999.0,
2554730.0,-999.0,-999.0,0.0,0.0,-999.0,
2555396.0,-999.0,-999.0,0.0,0.0,-999.0,
2555476.0,-999.0,-999.0,0.0,0.0,-999.0,
2555523.0,-999.0,-999.0,0.0,0.0,-999.0,
2555568.0,-999.0,-999.0,0.0,0.0,-999.0,
2555722.0,-999.0,-999.0,0.0,0.0,-999.0,
2556123.0,-999.0,-999.0,0.0,0.0,-999.0,
2556650.0,-999.0,-999.0,2.0,0.0,0.0,
2556953.0,-999.0,-999.0,1.0,0.0,-999.0,
2556994.0,-999.0,-999.0,1.0,0.0,-999.0,
2557350.0,-999.0,-999.0,-999.0,-999.0,1.0,
2557479.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2558138.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2558314.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2558623.0,-999.0,-999.0,0.0,0.0,-999.0,
2568503.0,-999.0,-999.0,0.0,0.0,-999.0,
2568708.0,-999.0,-999.0,0.0,0.0,-999.0,
2569737.0,-999.0,-999.0,0.0,0.0,-999.0,
2570773.0,-999.0,-999.0,0.0,0.0,-1.0,
2570846.0,-999.0,-999.0,0.0,0.0,-999.0,
2571155.0,-999.0,-999.0,0.0,0.0,-999.0,
2572352.0,-999.0,-999.0,0.0,0.0,-999.0,
2572455.0,-999.0,-999.0,0.0,0.0,-999.0,
2572490.0,-999.0,-999.0,0.0,0.0,-999.0,
2573016.0,-999.0,-999.0,0.0,0.0,-999.0,
2574013.0,-999.0,-999.0,1.0,0.0,-999.0,
2574201.0,-999.0,-999.0,0.0,0.0,-1.0,
2574699.0,-999.0,-999.0,0.0,0.0,-999.0,
2575433.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2575836.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2576013.0,-999.0,-999.0,1.0,0.0,-999.0,
2576328.0,-999.0,-999.0,0.0,0.0,-999.0,
2577210.0,-999.0,-999.0,0.0,0.0,-999.0,
2577743.0,-999.0,-999.0,0.0,0.0,-999.0,
2577892.0,-999.0,-999.0,0.0,0.0,-999.0,
2578300.0,-999.0,-999.0,0.0,0.0,-999.0,
2578319.0,-999.0,-999.0,0.0,0.0,-999.0,
2579762.0,-999.0,-999.0,0.0,0.0,-999.0,
2581101.0,-999.0,-999.0,0.0,0.0,-999.0,
2581298.0,-999.0,-999.0,0.0,0.0,-999.0,
2581444.0,-999.0,-999.0,0.0,0.0,-999.0,
2581554.0,1.0,-999.0,0.0,0.0,0.0,
2581647.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2582572.0,-999.0,-999.0,0.0,0.0,-999.0,
2582987.0,-999.0,-999.0,1.0,0.0,-999.0,
2583553.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2583649.0,-999.0,-999.0,1.0,0.0,-999.0,
2584692.0,-999.0,-999.0,0.0,0.0,-999.0,
2692088.0,-999.0,-999.0,0.0,0.0,-999.0,
2692271.0,-999.0,-999.0,0.0,0.0,-999.0,
2692429.0,-999.0,-999.0,0.0,0.0,-999.0,
2692704.0,-999.0,-999.0,0.0,0.0,-999.0,
2692772.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2692866.0,-999.0,-999.0,0.0,0.0,-999.0,
2693045.0,-999.0,-999.0,0.0,0.0,-999.0,
2693779.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2693993.0,-999.0,-999.0,1.0,0.0,-999.0,
2694414.0,-999.0,-999.0,0.0,0.0,-999.0,
2695622.0,-999.0,-999.0,0.0,0.0,-999.0,
2695885.0,-999.0,-999.0,0.0,0.0,-999.0,
2696381.0,-999.0,-999.0,1.0,0.0,-999.0,
2697813.0,-999.0,-999.0,0.0,0.0,-999.0,
2707504.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2707526.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2708172.0,-999.0,-999.0,0.0,0.0,-1.0,
2708221.0,-999.0,-999.0,0.0,0.0,-1.0,
2708343.0,-999.0,-999.0,0.0,0.0,-1.0,
2708595.0,-999.0,-999.0,0.0,0.0,-999.0,
2708666.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2708787.0,-999.0,-999.0,0.0,0.0,-999.0,
2710156.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2710323.0,1.0,-1.26,1.0,0.0,-999.0,
2710447.0,-999.0,-999.0,0.0,0.0,-999.0,
2711131.0,-999.0,-999.0,0.0,0.0,-1.0,
2711354.0,-999.0,-999.0,1.0,0.0,-999.0,
2711597.0,-999.0,-999.0,-999.0,-999.0,-1.0,
2712795.0,-999.0,-999.0,1.0,0.0,-999.0,
2713086.0,-999.0,-0.116,0.0,0.0,-999.0,
2714000.0,-999.0,-999.0,0.0,0.0,-999.0,
2714077.0,-999.0,-999.0,0.0,0.0,-999.0,
2714431.0,-999.0,-999.0,0.0,0.0,-999.0,
2714725.0,-999.0,-999.0,1.0,0.0,-999.0,
2715135.0,-999.0,-999.0,0.0,0.0,0.0,
2715495.0,-999.0,-999.0,0.0,0.0,-999.0,
2716142.0,-999.0,-999.0,1.0,0.0,-999.0,
2716319.0,-999.0,-999.0,0.0,0.0,-999.0,
2716857.0,-999.0,-999.0,1.0,0.0,-999.0,
2717009.0,-999.0,-999.0,1.0,0.0,-999.0,
